"x","y","cell_id","population","infected_DM_0","infected_DM_1","infected_DM_2","infected_DM_3","u","var","sd","IoD","CoV"
-2.2690269,53.495949,-7075355329554680832,43,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.269061,53.501342,2.520180411402e+18,60,0,0,1,0,0.25,0.25,0.5,1,2
-2.2692606,53.532801,-5448819283444573184,103,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2671803,53.4420223,8472544758162132992,52,0,0,1,0,0.25,0.25,0.5,1,2
-2.2672142,53.4474153,8694117606224232448,207,5,2,4,4,3.75,1.58333333333333,1.25830573921179,0.422222222222222,0.335548197123144
-2.2673159,53.4635944,7263659053594014720,45,0,2,0,0,0.5,1,1,2,2
-2.2674686,53.4878629,-4849847117126267904,73,2,0,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2675139,53.4950536,4072060562641201664,37,0,2,0,0,0.5,1,1,2,2
-2.2676385,53.5148278,6590555728644196352,51,1,0,0,0,0.25,0.25,0.5,1,2
-2.2676498,53.5166255,-587894995139310848,33,0,0,0,1,0.25,0.25,0.5,1,2
-2.2677179,53.5274114,3820778564191209984,66,0,1,0,0,0.25,0.25,0.5,1,2
-2.3081136,53.481473,5909615364764080128,60,0,0,0,1,0.25,0.25,0.5,1,2
-2.3005858,53.4823911,3190339308317861376,21,0,1,0,0,0.25,0.25,0.5,1,2
-2.2975091,53.4734103,-2870515216462218752,300,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2958274,53.4482467,4928154817473603584,68,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2943404,53.4509469,-5936316650318630912,52,0,1,0,0,0.25,0.25,0.5,1,2
-2.2910522,53.4105065,5464629807399410688,59,1,0,0,0,0.25,0.25,0.5,1,2
-2.2910706,53.413203,-2591732382517740032,54,1,0,0,0,0.25,0.25,0.5,1,2
-2.2914644,53.4707287,3691857603799397888,169,0,0,0,1,0.25,0.25,0.5,1,2
-2.2915692,53.4860088,-4732525821871734784,192,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2895356,53.4087125,-9115759044473533440,113,0,1,0,0,0.25,0.25,0.5,1,2
-2.2895479,53.4105102,6.685257941641e+18,59,0,0,0,1,0.25,0.25,0.5,1,2
-2.2895845,53.4159032,1990829068792435456,88,0,0,1,0,0.25,0.25,0.5,1,2
-2.289609,53.4194986,-8026178541782673408,30,0,0,0,1,0.25,0.25,0.5,1,2
-2.2897619,53.4419696,920152757153068800,115,0,1,0,0,0.25,0.25,0.5,1,2
-2.2898966,53.461744,2843093185080219136,84,0,2,0,0,0.5,1,1,2,2
-2.2880557,53.4123115,-3012122039627429376,47,0,0,1,0,0.25,0.25,0.5,1,2
-2.2883357,53.4536581,6010123522684398592,48,0,0,1,0,0.25,0.25,0.5,1,2
-2.2883783,53.45995,-2057147201209041152,117,2,0,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2883905,53.4617476,-941696707904593152,67,0,0,0,1,0.25,0.25,0.5,1,2
-2.2885919,53.4914091,1555772616737108736,108,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2865574,53.413214,8439564847778172928,73,1,4,1,0,1.5,3,1.73205080756888,2,1.15470053837925
-2.2865634,53.4141128,2244086235940656896,82,3,0,1,2,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2867207,53.4374827,-2349880479014563328,56,0,0,1,0,0.25,0.25,0.5,1,2
-2.2867389,53.4401792,7525227969251110912,100,0,0,0,1,0.25,0.25,0.5,1,2
-2.286745,53.441078,6347449505222038528,85,2,0,1,0,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.286751,53.4419768,357805557939255040,103,1,1,1,2,1.25,0.25,0.5,0.2,0.4
-2.2868783,53.4608524,-5360753529994100736,262,0,1,3,1,1.25,1.58333333333333,1.25830573921179,1.26666666666667,1.00664459136943
-2.2869632,53.4734361,-4144499965463710208,55,0,0,0,1,0.25,0.25,0.5,1,2
-2.2850589,53.4141164,-2326150663615604224,82,3,1,3,4,2.75,1.58333333333333,1.25830573921179,0.575757575757576,0.457565723349742
-2.2852396,53.4410816,3494728817488889344,58,0,0,0,1,0.25,0.25,0.5,1,2
-2.2852697,53.4455758,9159716689765476352,138,0,1,0,4,1.25,3.58333333333333,1.89296944860009,2.86666666666667,1.51437555888007
-2.285336,53.455463,3664201152879626752,63,0,1,0,0,0.25,0.25,0.5,1,2
-2.2854325,53.4698444,-3246851173850065408,8,0,0,0,1,0.25,0.25,0.5,1,2
-2.2854808,53.477035,8228860068373562368,72,1,0,1,2,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2835186,53.4087269,3087112355122137600,85,11,14,12,11,12,2,1.4142135623731,0.166666666666667,0.117851130197758
-2.2837761,53.4473771,-5459693333498696704,72,1,0,0,0,0.25,0.25,0.5,1,2
-2.2838241,53.4545678,-7670590484454127616,158,2,3,2,1,2,0.666666666666667,0.816496580927726,0.333333333333333,0.408248290463863
-2.2840403,53.4869258,6967852294729862144,55,0,1,0,0,0.25,0.25,0.5,1,2
-2.282056,53.4150224,-8879952954009293824,50,4,4,7,6,5.25,2.25,1.5,0.428571428571429,0.285714285714286
-2.2821989,53.4365946,6065747358238092288,55,2,0,0,2,1,1.33333333333333,1.15470053837925,1.33333333333333,1.15470053837925
-2.280516,53.4096329,-6273292361791023104,5,1,3,3,1,2,1.33333333333333,1.15470053837925,0.666666666666667,0.577350269189626
-2.2806759,53.4339016,6531833516955834368,66,0,0,2,3,1.25,2.25,1.5,1.8,1.2
-2.2807411,53.4437888,-6316401358366247936,58,0,0,2,0,0.5,1,1,2,2
-2.2807767,53.4491819,1250167104052299520,75,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2807886,53.4509795,-7274250121121723392,132,1,1,1,1,1,0,0,0,0
-2.2808064,53.4536761,1379323443210039040,99,1,1,1,0,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2809073,53.4689563,544533492269292288,210,1,3,0,1,1.25,1.58333333333333,1.25830573921179,1.26666666666667,1.00664459136943
-2.2809252,53.4716528,-6536709207068583936,106,0,0,0,1,0.25,0.25,0.5,1,2
-2.280937,53.4734504,3095393186222038528,10,1,0,0,0,0.25,0.25,0.5,1,2
-2.2812107,53.5147966,5086650726577953792,114,0,0,1,0,0.25,0.25,0.5,1,2
-2.2789999,53.4078387,125028254233245408,20,14,9,10,14,11.75,6.91666666666667,2.62995563967658,0.588652482269504,0.223826011887369
-2.2790235,53.4114341,1397196653590858496,47,11,9,9,16,11.25,10.9166666666667,3.30403793359983,0.97037037037037,0.29369226076443
-2.2791472,53.4303098,-3719518425392101888,17,0,0,1,2,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2792061,53.4392982,2688314833196445184,130,4,4,2,2,3,1.33333333333333,1.15470053837925,0.444444444444444,0.38490017945975
-2.2792592,53.4473877,-4742144674462263296,117,0,1,0,0,0.25,0.25,0.5,1,2
-2.279271,53.4491854,-3634174672891585024,129,0,0,0,1,0.25,0.25,0.5,1,2
-2.2795251,53.4878353,2963654995088263680,8,0,0,0,1,0.25,0.25,0.5,1,2
-2.2796138,53.5013177,-4285272903048990208,63,0,0,0,1,0.25,0.25,0.5,1,2
-2.2796967,53.5139013,5559395172500453376,24,0,0,1,0,0.25,0.25,0.5,1,2
-2.2775074,53.4096399,4947301433501199360,82,21,32,32,33,29.5,32.3333333333333,5.68624070307733,1.09604519774011,0.192753922138214
-2.2777067,53.4402005,1856372631446302464,90,2,0,4,2,2,2.66666666666667,1.63299316185545,1.33333333333333,0.816496580927726
-2.2777125,53.4410994,-6327396498288151552,118,4,2,3,1,2.5,1.66666666666667,1.29099444873581,0.666666666666667,0.516397779494322
-2.2777301,53.4437959,-366145251308531968,66,2,0,1,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2778182,53.4572784,1370754339500562176,76,0,2,1,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2778299,53.4590761,4714336420723943424,50,1,0,2,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2779004,53.4698621,-1556448238592789760,82,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2779474,53.4770528,-8535380428958730240,61,2,0,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2760031,53.4096434,-8820616222601541632,58,14,12,12,14,13,1.33333333333333,1.15470053837925,0.102564102564103,0.0888231183368655
-2.2760206,53.4123399,5726773707050736640,73,12,11,7,7,9.25,6.91666666666667,2.62995563967658,0.747747747747748,0.284319528613685
-2.276143,53.4312156,-994356348131164416,66,1,1,5,3,2.5,3.66666666666667,1.91485421551268,1.46666666666667,0.765941686205071
-2.2761954,53.4393052,2476614203591677440,84,4,3,1,0,2,3.33333333333333,1.82574185835055,1.66666666666667,0.912870929175277
-2.2762246,53.4437994,-5678218201772311552,150,3,3,2,2,2.5,0.333333333333333,0.577350269189626,0.133333333333333,0.23094010767585
-2.2763064,53.4563831,-208086630783149344,110,1,1,1,0,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2763122,53.4572819,-5085592797082955776,89,0,1,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2763297,53.4599785,-938212887150025984,265,3,2,2,6,3.25,3.58333333333333,1.89296944860009,1.1025641025641,0.582452138030797
-2.2763414,53.4617761,-399428463084597504,50,0,1,0,0,0.25,0.25,0.5,1,2
-2.2744872,53.4078492,5587628396275937280,46,2,2,1,2,1.75,0.25,0.5,0.142857142857143,0.285714285714286
-2.274493,53.408748,-154122749003444512,56,7,3,9,6,6.25,6.25,2.5,1,0.4
-2.2746959,53.4402075,-7173369861790438400,89,3,1,1,3,2,1.33333333333333,1.15470053837925,0.666666666666667,0.577350269189626
-2.2747249,53.4447017,-6087113180199494656,50,1,1,0,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2747365,53.4464994,-632038895201865984,92,2,4,0,0,1.5,3.66666666666667,1.91485421551268,2.44444444444444,1.27656947700845
-2.2747423,53.4473982,3042815643031064064,72,0,1,3,2,1.5,1.66666666666667,1.29099444873581,1.11111111111111,0.86066296582387
-2.2747539,53.4491959,6640224095240628224,37,0,0,1,0,0.25,0.25,0.5,1,2
-2.2748178,53.4590831,3730736217694112256,69,0,2,0,1,0.75,0.916666666666667,0.957427107756338,1.22222222222222,1.27656947700845
-2.2730118,53.4123469,-3201484322756806144,77,3,4,4,7,4.5,3,1.73205080756888,0.666666666666667,0.38490017945975
-2.2731213,53.4294249,-8789908181581459456,65,1,2,2,1,1.5,0.333333333333333,0.577350269189626,0.222222222222222,0.38490017945975
-2.2732078,53.4429075,-4842740103576091648,17,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2732714,53.4527947,2616356044115727872,55,0,1,1,2,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.273746,53.5264989,428252278001572608,68,0,1,0,0,0.25,0.25,0.5,1,2
-2.2715074,53.4123503,-2913805330674472448,69,3,6,1,3,3.25,4.25,2.06155281280883,1.30769230769231,0.634323942402717
-2.2716392,53.4330237,1585952286364752640,46,1,2,0,4,1.75,2.91666666666667,1.70782512765993,1.66666666666667,0.975900072948533
-2.2717081,53.4438097,-1287406204744597760,125,2,1,6,3,3,4.66666666666667,2.16024689946929,1.55555555555556,0.720082299823096
-2.2717196,53.4456074,-7710881299375690752,65,1,1,1,0,0.75,0.25,0.5,0.333333333333333,0.666666666666667
-2.2717368,53.4483039,-8606497867196690432,70,3,0,1,4,2,3.33333333333333,1.82574185835055,1.66666666666667,0.912870929175277
-2.2718862,53.4716737,-3592870802536568320,98,1,2,0,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.270003,53.4123537,8289595978423360512,49,0,0,4,3,1.75,4.25,2.06155281280883,2.42857142857143,1.1780301787479
-2.2700942,53.4267352,7912825851091262464,15,2,1,0,1,1,0.666666666666667,0.816496580927726,0.666666666666667,0.816496580927726
-2.2701627,53.4375213,-2508114947966684672,131,5,2,5,4,4,2,1.4142135623731,0.5,0.353553390593274
-2.2701855,53.4411166,-1478567647357840640,42,0,3,2,0,1.25,2.25,1.5,1.8,1.2
-2.2702026,53.4438132,-6613529891886863360,141,4,3,1,5,3.25,2.91666666666667,1.70782512765993,0.897435897435897,0.525484654664595
-2.2702083,53.444712,-4935060519600114688,27,0,1,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.270254,53.4519027,-5846948052282023936,99,1,1,3,0,1.25,1.58333333333333,1.25830573921179,1.26666666666667,1.00664459136943
-2.2702711,53.4545992,8670363719230322688,85,1,1,2,1,1.25,0.25,0.5,0.2,0.4
-2.2702997,53.4590934,-8753471821317727232,187,1,3,1,3,2,1.33333333333333,1.15470053837925,0.666666666666667,0.577350269189626
-2.2703969,53.4743736,-1459928735461744896,44,1,0,1,0,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2706775,53.5184163,1154897302428565248,195,1,0,0,1,0.5,0.333333333333333,0.577350269189626,0.666666666666667,1.15470053837925
-2.2685836,53.4258398,2388967691014491648,77,3,4,2,2,2.75,0.916666666666667,0.957427107756338,0.333333333333333,0.348155311911396
